Id,ContactId,WarehouseId,Code,ProductionNo,OrderDate,Notes,QuantityReceived,QuantityRejected,QuantityFinal,IsConfirmed,HasDueDate,DueDate,ConfirmationDate,IsCompleted,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,206,3,1412678,,,,8,0,0,False,True,2014-12-15,,False,True,2014-12-22 15:55:31,2014-12-24 14:10:34,2014-12-30 09:35:39
2,53,3,1412677,,,,11,0,0,False,True,2014-12-15,,False,True,2014-12-24 11:50:59,,2014-12-30 09:35:52
3,46,3,48/XII,1412676,,,6,0,0,True,True,2014-12-16,2014-12-16,False,False,2014-12-24 13:17:37,2015-03-23 15:38:43,
4,55,3,47/XII,1412675,,,20,0,0,True,True,2014-12-15,2014-12-15,False,False,2014-12-24 13:20:29,2015-03-23 15:37:41,
5,188,3,41/XII,1412674,,,20,0,0,False,True,2014-12-15,,False,False,2014-12-24 13:22:52,2015-03-23 15:36:29,
6,135,3,4,,,,16,0,0,False,True,2014-12-12,,False,False,2014-12-24 13:44:50,2015-01-17 11:59:49,
7,288,3,34/XII,1412671,,,10,0,0,True,True,2014-12-15,2014-12-15,False,False,2014-12-24 14:25:20,2015-03-23 15:32:40,
8,976,3,6,S1412670,,,12,0,0,True,True,2014-12-11,2014-12-11,False,False,2014-12-24 14:33:38,2015-04-01 14:39:44,
9,976,3,7,,,,4,0,0,False,True,2014-12-12,,False,False,2014-12-24 14:36:18,2015-01-17 12:00:19,
10,57,3,29/XII,1412669,,,12,0,0,False,True,2014-12-19,,False,False,2014-12-24 14:43:17,2015-03-23 15:18:35,
11,108,3,28/XII,1412668,,,5,0,0,True,True,2014-12-10,2014-12-10,False,False,2014-12-24 14:45:09,2015-03-23 15:07:17,
12,169,3,10,1412667,,,20,0,0,True,True,2014-12-10,2014-12-10,False,False,2014-12-24 14:48:30,2015-03-22 23:02:49,
13,75,3,26/XI,1412666,,,2,0,0,True,True,2014-12-10,2014-12-10,False,False,2014-12-24 14:49:44,2015-03-22 22:58:42,
14,206,3,12,1412665,,,9,0,0,False,True,2014-12-10,,False,False,2014-12-24 15:02:51,2015-03-22 22:56:19,
15,4,3,22/XII,1412664,,,29,0,0,True,True,2014-12-09,2014-12-09,False,False,2014-12-24 15:04:41,2015-03-22 22:55:37,
16,845,3,21/XII,1412663,,,6,0,0,True,True,2014-12-10,2014-12-10,False,False,2014-12-24 15:07:19,2015-03-22 22:46:59,
17,206,3,92/XI,1412662,,,6,0,0,False,True,2014-12-05,,False,False,2014-12-24 15:27:23,2015-03-22 22:45:45,
18,41,3,16,,,,7,0,0,False,True,2014-12-05,,False,False,2014-12-24 15:28:53,2015-01-17 12:03:42,
19,41,3,1412661a,,,,3,0,0,False,True,2014-12-05,,False,True,2014-12-24 15:33:52,,2015-01-17 10:08:37
20,341,3,18/XII,1412660,,,2,0,0,True,True,2014-12-05,2014-12-05,False,False,2014-12-24 15:37:32,2015-03-22 22:25:31,
21,256,3,64/XII,1412682,,,16,0,0,True,True,2014-12-04,2014-12-04,False,False,2014-12-24 15:43:37,2015-03-23 16:29:02,
22,664,3,15/XII,1412657,,,4,0,0,True,True,2014-12-04,2014-12-04,False,False,2014-12-24 15:46:13,2015-03-22 22:06:29,
23,976,3,20,S1412656,,,40,0,0,True,True,2014-12-03,2014-12-03,False,False,2014-12-24 15:48:27,2015-03-22 21:56:30,
24,976,3,21,S1412654,,,60,0,0,True,True,2014-12-03,2014-12-03,False,False,2014-12-24 15:51:09,2015-03-22 21:33:05,
25,976,3,22,S1412653,,,50,0,0,True,True,2014-12-03,2014-12-03,False,False,2014-12-24 15:54:01,2015-03-22 21:16:28,
26,664,3,13/XII,1412652,,,4,0,0,True,True,2014-12-03,2014-12-03,False,False,2014-12-24 15:55:44,2015-03-22 21:15:04,
27,57,3,24,,,,10,0,0,True,True,2014-12-03,2014-12-03,False,False,2014-12-24 16:04:28,2015-01-17 12:05:23,
28,228,3,72/XI,1412650,,,5,0,0,False,True,2014-12-04,,False,False,2014-12-29 15:12:57,2015-03-22 20:52:36,
29,94,3,11/XII,1412647,,,10,0,0,True,True,2014-12-04,2014-12-04,False,False,2014-12-29 15:39:55,2015-03-22 20:22:36,
30,319,3,10/XII,1412646,,,2,0,0,False,True,2014-12-05,,False,False,2014-12-29 15:42:25,2015-03-22 20:19:38,
31,976,3,28,S1412645,,,20,0,0,False,False,,,False,False,2014-12-29 15:57:33,2015-03-22 20:17:55,
32,374,3,9/XII,1412644,,,14,0,0,True,True,2014-12-03,2014-12-03,False,False,2014-12-29 15:59:46,2015-03-22 20:03:59,
33,374,3,1412644a,,,,4,0,0,False,True,2014-12-03,,False,True,2014-12-29 16:09:22,2014-12-30 08:47:51,2015-01-17 10:47:37
34,799,3,3/XII,1412643,,,5,0,0,False,True,2014-12-03,,False,False,2014-12-29 16:14:52,2015-03-22 16:46:12,
35,135,3,31,1412642,,,25,0,0,True,True,2014-12-02,2014-12-02,False,False,2014-12-29 16:26:57,2015-03-22 16:45:27,
36,341,3,2/XII,1412640,,,2,0,0,True,True,2014-12-01,2014-12-01,False,False,2014-12-29 16:54:18,2015-03-22 16:13:15,
37,976,3,33,S1411638,,,30,0,0,True,True,2014-12-03,2014-12-03,False,False,2014-12-29 17:01:34,2015-03-22 16:07:01,
38,976,3,34,S1411636,,,50,0,0,False,False,,,False,False,2014-12-30 08:34:06,2015-03-19 21:39:10,
39,976,3,35,S1411634,,,60,0,0,False,False,,,False,False,2014-12-30 08:47:32,2015-03-19 21:33:38,
40,976,3,36,S1411593,,,41,0,0,False,False,,,False,False,2014-12-30 08:51:26,2015-03-19 21:29:00,
41,341,3,37,UP 1412072,,,2,0,0,True,True,2014-12-16,2014-12-16,False,False,2014-12-30 09:17:17,2015-03-19 20:30:17,
42,53,3,49/XII,1412677,,,11,0,0,True,True,2014-12-16,2014-12-16,False,False,2014-12-30 09:37:50,2015-03-23 15:39:34,
43,4,3,39,UP 1412071,,,2,0,0,True,True,2014-12-11,2014-12-11,False,False,2015-01-02 03:18:57,2015-03-19 20:26:38,
44,4,3,40,UP 1412070,,,20,0,0,True,True,2014-12-15,2014-12-15,False,False,2015-01-02 03:29:47,2015-03-19 20:26:00,
45,1050,3,48/XII-a,1412678,,,8,0,0,True,True,2014-12-15,2014-12-15,False,False,2015-01-02 03:33:20,2015-03-23 16:01:34,
46,976,3,42,S1412688,,,50,0,0,True,True,2014-12-22,2014-12-22,False,False,2015-01-02 03:37:14,2015-03-23 17:47:32,
47,976,3,43,,,,50,0,0,False,True,2014-12-03,,False,False,2015-01-02 03:39:53,2015-01-17 12:09:26,
48,1170,3,5/XII,1412641,,,10,0,0,False,True,2014-12-02,,False,False,2015-01-02 04:16:34,2015-03-22 16:40:45,
49,1170,3,1412641a,,,,10,0,0,False,True,2014-12-02,,False,True,2015-01-02 04:20:03,,2015-01-17 11:21:37
50,1171,3,01/XII,1412639,,,4,0,0,True,True,2014-12-03,2015-01-21,False,False,2015-01-02 04:44:51,2015-03-24 22:33:38,
51,792,3,68/XI,1412649,,,2,0,0,True,True,2014-12-04,2014-12-04,False,False,2015-01-02 05:21:20,2015-03-22 20:30:54,
52,4,3,86/XI,UP 1412070,,,20,0,0,False,False,,,False,True,2015-03-19 20:09:07,,2015-03-19 20:24:32
53,305,3,46/XI,1411611,,,14,0,0,False,True,2014-12-30,,False,False,2015-03-19 21:24:44,,
54,976,3,000035a,S1411635,,,52,0,0,False,False,,,False,False,2015-03-19 21:40:02,,
55,976,3,47,S1411637,,,50,0,1,True,False,,2014-12-17,False,False,2015-03-22 15:12:54,2015-03-22 15:43:21,
56,374,3,7/XII,1412644,,,6,0,0,True,True,2014-12-03,2014-12-03,False,False,2015-03-22 20:13:12,,
57,976,3,48,S1412655,,,5,0,0,False,False,,,False,False,2015-03-22 21:38:34,,
58,256,3,14/XII,1412658,,,16,0,0,True,True,2014-12-05,2014-12-05,False,False,2015-03-22 22:11:35,2015-03-23 16:31:02,
59,976,3,49,S1412659,,,50,0,0,True,True,2014-12-09,2014-12-09,False,False,2015-03-22 22:14:10,,
60,41,3,20/XII,1412661,,,3,0,0,True,True,2014-12-08,2014-12-08,False,False,2015-03-22 22:27:52,,
61,41,3,19/XII,1412661,,,4,0,0,True,True,2014-12-08,2014-12-08,False,False,2015-03-22 22:31:21,,
62,978,3,51/XII,1412679,,,3,0,0,True,True,2014-12-19,2014-12-19,False,False,2015-03-23 16:02:34,,
63,1167,3,40/XII,1412680,,,2,0,0,True,True,2014-12-19,2014-12-19,False,False,2015-03-23 16:17:14,,
64,767,3,64/XII,1412682,,,16,0,0,False,True,2014-12-19,,False,True,2015-03-23 16:25:28,,2015-03-23 16:28:42
65,229,3,63/XII,1412683,,,8,0,0,True,True,2014-12-19,2014-12-19,False,False,2015-03-23 17:03:08,,
66,198,3,67/XII,1412684,,,15,0,0,False,True,2014-12-22,,False,False,2015-03-23 17:09:56,,
67,550,3,68/XII,1412685,,,5,0,0,False,True,2014-12-22,,False,False,2015-03-23 17:14:07,,
68,976,3,66/XII,S1412685,,,40,0,0,True,True,2014-12-23,2014-12-23,False,False,2015-03-23 17:17:54,,
69,976,3,65/XII,S1412686,,,45,0,0,True,True,2014-12-23,2014-12-23,False,False,2015-03-23 17:22:20,,
70,544,3,73/XII,1412687,,,4,0,0,True,True,2014-12-24,2014-12-24,False,False,2015-03-23 17:53:40,,
71,976,3,50,S1412691,,,50,0,0,True,True,2014-12-30,2015-01-30,False,False,2015-03-23 19:39:40,,
72,541,3,77/XII,1412692,,,2,0,0,True,True,2014-12-29,2014-12-29,False,False,2015-03-23 19:50:35,,
73,976,3,51,S1412698,,,20,0,0,True,True,2014-12-30,2014-12-30,False,False,2015-03-23 19:52:08,,
74,1097,3,78/XII,1412699,,,2,0,0,False,True,2014-12-29,,False,False,2015-03-23 19:58:53,,
75,1097,3,79/XII,1412700,,,2,0,0,False,True,2014-12-30,,False,False,2015-03-23 20:02:02,,
76,976,3,52,1412701,,,20,0,0,True,True,2015-01-02,2015-01-02,False,False,2015-03-23 20:23:54,,
77,94,3,10/I,UP1501001,,,30,0,0,False,True,2015-01-09,,False,True,2015-03-25 20:19:12,,2015-03-25 20:22:52
78,315,3,58/XI,1412648,,,6,0,0,False,True,2014-12-08,,False,False,2015-03-25 20:24:26,2015-03-25 20:27:56,
79,315,3,65/XI,1412648,,,6,0,0,False,True,2015-01-05,,False,False,2015-03-25 20:25:30,2015-03-25 20:27:44,
80,315,3,57/XI,1412648,,,16,0,0,False,True,2014-12-08,,False,False,2015-03-25 20:26:58,,
81,315,3,63/XI,1412648,,,10,0,0,False,True,2015-01-06,,False,False,2015-03-25 20:28:30,,
82,315,3,64/XI,1412648,,,4,0,0,False,True,2015-01-05,,False,False,2015-03-25 20:30:04,,
83,315,3,56/XI,1412648,,,12,0,0,False,True,2014-12-08,,False,False,2015-03-25 20:33:57,,
84,315,3,62/XI,1412648,,,12,0,0,False,True,2015-01-06,,False,False,2015-03-25 20:35:21,,
85,315,3,55/XI,1412648,,,30,0,0,False,True,2014-12-08,,False,False,2015-03-25 20:36:19,,
86,315,3,61/XI,1412648,,,30,0,0,False,True,2015-01-05,,False,False,2015-03-25 20:37:13,,
87,315,3,54/XI,1412648,,,12,0,0,False,True,2014-12-08,,False,False,2015-03-25 20:38:52,,
88,315,3,60/XI,1412648,,,12,0,0,False,True,2015-01-05,,False,False,2015-03-25 20:43:58,,
89,315,3,59/XI,1412648,,,10,0,0,False,True,2015-01-05,,False,False,2015-03-25 20:45:20,,
90,976,3,53,S1412693,,,60,0,15,True,True,2015-01-07,2015-01-07,False,False,2015-03-25 20:50:26,2015-05-11 22:31:49,
91,976,3,54,S1412694,,,50,0,2,True,True,2015-01-05,2015-01-05,False,False,2015-03-25 21:09:11,2015-05-11 22:24:05,
92,976,3,55,S1412695,,,50,0,9,True,True,2015-01-02,2015-01-02,False,False,2015-03-25 21:23:56,2015-05-11 22:19:41,
93,976,3,56,S1412696,,,30,0,1,True,True,2015-01-05,2015-01-05,False,False,2015-03-25 21:25:19,2015-05-11 22:07:30,
94,976,3,57,S1412697,,,15,0,15,True,True,2015-01-16,2015-01-16,True,False,2015-03-25 21:27:14,2015-05-11 22:01:40,
95,57,3,58,1412702,,,37,0,18,True,True,2015-01-02,2015-01-02,False,False,2015-03-25 21:28:50,2015-05-11 21:53:17,
96,94,3,82/XII,1412703,,,30,0,2,True,True,2015-01-05,2015-01-05,False,False,2015-03-25 21:37:51,2015-05-11 21:44:09,
97,976,3,59,1501001,,,26,0,2,True,True,2015-01-06,2015-01-06,False,False,2015-03-25 21:52:56,2015-05-11 21:42:57,
98,976,3,60,S1501002,,,20,0,2,True,True,2015-01-07,2015-01-07,False,False,2015-03-25 21:58:56,2015-05-11 17:53:40,
99,976,3,61,1501003,,,23,0,0,False,True,2015-01-07,,False,False,2015-03-25 22:04:34,,
100,179,3,01/I,1501004,,,5,0,5,True,True,2015-01-09,2015-01-09,True,False,2015-03-25 22:14:23,2015-05-11 17:46:18,
101,976,3,62,1501005,,,20,0,2,True,True,2015-01-09,2015-01-09,False,False,2015-03-25 22:18:02,2015-05-11 17:44:17,
102,57,3,63,1501006,,,10,0,10,True,True,2015-01-07,2015-01-07,True,False,2015-03-25 22:19:59,2015-05-11 17:39:47,
103,528,3,4/I,1501007,,,12,0,12,True,True,2015-01-06,2015-01-06,True,False,2015-03-25 22:24:45,2015-05-11 17:33:02,
104,1170,3,5/I,1501008,,,10,0,10,True,True,2015-01-07,2015-01-07,True,False,2015-03-25 22:50:40,2015-05-05 22:54:18,
105,1170,3,6/I,1501008,,,10,0,10,True,True,2015-01-07,2015-01-07,True,False,2015-03-25 22:51:42,2015-05-05 22:43:50,
106,46,3,8/I,1501009,,,6,0,6,True,True,2015-01-08,2015-01-08,True,False,2015-03-25 22:52:58,2015-05-05 22:29:42,
107,976,3,64,1501010,,,30,0,1,True,True,2015-01-14,2015-01-14,False,False,2015-03-25 22:59:18,2015-05-05 22:28:14,
108,976,3,65,1501011,,,10,0,0,False,True,2015-01-14,,False,True,2015-03-25 23:02:54,,2015-03-25 23:04:07
109,976,3,1501018,65,,,40,0,0,True,True,2015-01-13,2015-01-13,False,False,2015-04-01 16:34:38,2015-04-01 16:42:25,
110,976,3,66,1501020,,,50,0,1,True,True,2015-01-14,2015-01-14,False,False,2015-04-01 17:37:06,2015-05-05 21:40:02,
111,976,3,67,1501021,,,70,0,4,True,True,2015-01-14,2015-01-14,False,False,2015-04-01 17:50:55,2015-05-05 21:39:31,
112,55,3,17/1,1501022,,,20,0,4,True,True,2015-01-14,2015-01-14,False,False,2015-04-01 21:13:39,2015-05-05 21:26:09,
113,550,3,18/1,1501023,,,2,0,2,True,True,2015-01-14,2015-01-14,True,False,2015-04-01 21:16:34,2015-05-05 21:15:23,
114,364,3,19/1,1501024,,,0,0,0,False,True,2015-01-14,,False,False,2015-04-01 21:22:06,2015-04-01 21:22:20,
115,1183,3,20/1,1501025,,,4,0,0,False,True,2015-01-13,,False,False,2015-04-01 21:27:31,2015-04-01 21:40:41,
116,976,3,68,1501026,,,50,0,16,True,True,2015-01-15,2015-01-15,False,False,2015-04-01 21:41:47,2015-05-05 21:14:27,
117,2,3,22/1,1501027,,,10,0,10,True,True,2015-01-15,2015-01-15,True,False,2015-04-01 21:44:27,2015-05-05 21:07:40,
118,976,3,69,1501028,,,15,0,15,True,True,2015-01-21,2015-01-21,True,False,2015-04-01 21:47:21,2015-05-05 20:50:46,
119,976,3,70,1501029,,,10,0,10,True,True,2015-01-21,2015-01-21,True,False,2015-04-01 21:57:48,2015-05-05 20:38:10,
120,976,3,71,1501031,,,30,0,1,True,True,2015-01-21,2015-01-21,False,False,2015-04-01 22:03:43,2015-05-05 20:35:05,
121,976,3,72,1501033,,,12,0,12,True,True,2015-01-19,2015-01-19,True,False,2015-04-01 22:09:06,2015-05-05 20:33:21,
123,976,3,73,1501034,,,8,0,8,True,True,2015-01-16,2015-01-16,True,False,2015-04-01 22:10:21,2015-05-05 20:30:18,
124,799,3,29/1,1501035,,,5,0,0,False,True,2015-01-16,,False,False,2015-04-01 22:14:09,2015-04-01 22:17:55,
125,1165,3,32/1,1501037,,,9,0,9,True,True,2015-01-20,2015-01-20,True,False,2015-04-01 22:21:54,2015-05-05 20:08:56,
126,257,3,30/1,1501037,,,10,0,10,True,True,2015-01-20,2015-01-20,True,False,2015-04-01 22:28:36,2015-05-05 20:04:07,
127,976,3,74,1501038,,,40,0,1,True,True,2015-01-20,2015-01-20,False,False,2015-04-01 22:31:24,2015-05-04 22:43:59,
128,976,3,75,1501039,,,20,0,1,True,True,2015-01-21,2015-01-21,False,False,2015-04-01 22:32:37,2015-05-04 22:34:25,
129,976,3,76,1501040,,,30,0,1,True,True,2015-01-28,2015-01-28,False,False,2015-04-01 22:34:04,2015-05-04 22:11:45,
130,113,3,13/1,1501017,,,8,0,8,True,True,2015-01-12,2015-01-12,True,False,2015-04-05 17:40:33,2015-05-05 21:42:11,
131,976,3,77,1501041,,,15,0,15,True,True,2015-01-26,2015-01-26,True,False,2015-04-05 21:09:45,2015-05-04 21:06:12,
132,256,3,78,1501042,,,0,0,0,False,True,2015-01-16,,False,False,2015-04-05 21:11:40,,
133,976,3,79,1501016,,,5,0,5,True,True,2015-01-14,2015-01-14,True,False,2015-04-06 20:13:39,2015-05-05 21:50:03,
134,976,3,80,1501015,,,18,0,3,True,True,2015-01-14,2015-01-14,False,False,2015-04-06 20:17:57,2015-05-05 22:02:37,
135,976,3,81,1501014,,,10,0,0,False,True,2015-01-14,,False,False,2015-04-06 20:22:43,2015-04-06 20:53:03,
136,976,3,82,1501012,,,25,0,3,True,True,2015-01-14,2015-01-14,False,False,2015-04-06 20:55:29,2015-05-05 22:10:25,
137,976,3,83,1501011,,,10,0,10,True,True,2015-01-14,2015-01-14,True,False,2015-04-06 21:00:35,2015-05-05 22:27:12,
138,191,3,36/1,1501043,,,4,0,4,True,True,2015-01-20,2015-01-20,True,False,2015-04-06 21:20:10,2015-05-04 20:29:11,
139,786,3,39/1,1501044,,,5,0,0,False,True,2015-01-22,,False,False,2015-04-06 21:28:48,2015-04-06 21:29:38,
140,228,3,84,1501045,,,30,0,2,True,True,2015-01-27,2015-01-27,False,False,2015-04-06 21:30:55,2015-05-04 20:27:30,
141,1167,3,41/1,1501046,,,10,0,10,True,True,2015-01-23,2015-01-23,True,False,2015-04-06 21:33:24,2015-05-04 18:03:43,
142,364,3,44/1,1501047,,,5,0,0,False,True,2015-01-26,,False,False,2015-04-06 21:38:38,2015-04-06 21:45:29,
143,46,3,46/1,1501048,,,4,0,4,True,True,2015-01-26,2015-01-26,True,False,2015-04-06 21:46:07,2015-05-04 17:22:13,
144,364,3,45/1,1501049,,,5,0,0,False,True,2015-01-26,,False,False,2015-04-06 21:54:06,2015-04-06 21:58:17,
145,1044,3,47/1,1501050,,,4,0,0,False,True,2015-01-26,,False,False,2015-04-06 21:59:51,2015-04-06 22:02:54,
146,1044,3,48/1,1501051,,,4,0,0,False,True,2015-01-26,,False,False,2015-04-06 22:03:31,2015-04-06 22:05:23,
147,46,3,49/1,1501052,,,12,0,12,True,True,2015-01-27,2015-01-27,True,False,2015-04-06 22:06:00,2015-05-04 17:17:02,
148,976,3,85,1501053,,,5,0,5,True,True,2015-01-28,2015-01-28,True,False,2015-04-06 22:12:17,2015-05-04 17:14:26,
149,976,3,86,1501054,,,5,0,5,True,True,2015-01-28,2015-01-28,True,False,2015-04-06 22:21:05,2015-05-04 17:11:12,
150,976,3,87,1501055,,,5,0,5,True,True,2015-01-28,2015-01-28,True,False,2015-04-06 22:22:13,2015-05-04 17:09:41,
151,976,3,88,1501056,,,10,0,10,True,True,2015-01-28,2015-01-28,True,False,2015-04-06 22:23:44,2015-05-04 17:07:54,
152,976,3,89,1501057,,,70,0,70,True,True,2015-01-30,2015-01-30,True,False,2015-04-06 22:28:28,2015-05-03 23:01:26,
153,75,3,50/1,1501058,,,3,0,3,True,True,2015-01-28,2015-01-28,True,False,2015-04-06 22:57:44,2015-05-03 22:34:44,
154,198,3,51/1,1501062,,,20,0,20,True,True,2015-01-27,2015-01-27,True,False,2015-04-07 14:58:12,2015-05-03 22:33:36,
155,198,3,52/1,1501063,,,20,0,20,True,True,2015-01-29,2015-01-29,True,False,2015-04-07 15:13:07,2015-05-03 22:21:16,
156,1167,3,53/1,1501064,,,4,0,4,True,True,2015-01-28,2015-01-28,True,False,2015-04-07 15:19:52,2015-05-03 22:15:41,
157,369,3,54/1,1501065,,,8,0,8,True,True,2015-01-28,2015-01-28,True,False,2015-04-07 15:22:52,2015-05-03 22:07:16,
158,180,3,55/1,1501066,,,3,0,3,True,True,2015-01-30,2015-01-30,True,False,2015-04-07 15:24:38,2015-05-03 22:04:43,
159,229,3,79/1,1501067,,,4,0,4,True,True,2015-01-30,2015-01-30,True,False,2015-04-07 15:26:52,2015-05-03 22:01:59,
160,976,3,90,S1412686,2014-12-22,,64,0,0,False,True,2014-12-30,,False,False,2015-05-25 17:48:40,2015-05-25 17:52:39,
161,976,3,91,1501059,2015-01-27,,30,0,0,False,True,2015-02-02,,False,False,2015-05-25 17:55:43,2015-05-25 17:58:37,
162,976,3,92,1501060,2015-01-27,,15,0,0,False,True,2015-01-30,,False,False,2015-05-25 20:32:48,2015-05-25 20:39:10,
163,976,3,93,1501061,2015-01-27,,62,0,0,False,True,2015-02-06,,False,False,2015-05-25 20:41:41,2015-05-25 20:42:36,
164,315,3,75/1,1501068,2015-01-30,,0,0,0,False,True,2015-02-02,,False,True,2015-05-25 21:05:13,,2015-05-25 21:06:18
165,50,3,89/1,1502074,2015-02-02,,4,0,0,False,True,2015-02-03,,False,False,2015-05-25 21:09:26,2015-05-25 21:17:37,
166,50,3,91/1,1502076,2015-02-02,,0,0,0,False,True,2015-02-02,,False,True,2015-05-25 21:29:14,,2015-05-25 21:29:59
167,374,3,92/1,1502077,2015-02-02,,6,0,0,False,True,2015-02-03,,False,False,2015-05-25 21:32:01,2015-05-25 21:41:32,
168,976,3,94,1502078,2015-02-02,,40,0,0,False,True,2015-02-03,,False,False,2015-05-25 21:44:54,2015-05-25 21:45:40,
169,1191,3,95,1502080,2015-02-02,,5,0,0,False,True,2015-02-04,,False,False,2015-05-25 21:46:48,2015-05-25 21:53:06,
170,976,3,96,1502081,2015-02-03,,41,0,0,False,True,2015-02-04,,False,False,2015-05-25 21:54:32,2015-05-25 21:58:16,
171,976,3,97,1502082,2015-02-03,,35,0,0,False,True,2015-02-04,,False,False,2015-05-25 21:59:33,2015-05-25 22:02:22,
172,976,3,98,1502083,2015-02-03,,30,0,0,False,True,2015-02-04,,False,False,2015-05-25 22:03:18,2015-05-25 22:04:06,
173,976,3,99,1502084,2015-02-03,,15,0,0,False,True,2015-02-05,,False,False,2015-05-25 22:06:00,2015-05-25 22:06:55,
174,976,3,100,1502085,2015-02-03,,10,0,0,False,True,2015-02-05,,False,False,2015-05-25 22:08:02,2015-05-25 22:13:07,
175,976,3,101,1502086,2015-02-03,,8,0,0,False,True,2015-02-06,,False,False,2015-05-25 22:51:20,2015-05-25 22:58:33,
176,976,3,102,1502087,2015-02-03,,35,0,0,False,True,2015-02-03,,False,False,2015-05-25 23:02:36,2015-05-26 17:10:54,
177,1170,3,103,1502088,2015-02-04,,15,0,0,False,True,2015-02-05,,False,False,2015-05-26 17:13:24,2015-05-26 19:26:06,
178,1170,3,104,1502089,2015-02-04,,10,0,0,False,True,2015-02-05,,False,False,2015-05-26 19:34:12,2015-05-26 19:37:17,
179,55,3,105,1502090,2015-02-04,,40,0,0,False,True,2015-02-06,,False,False,2015-05-26 19:38:40,2015-05-26 19:40:16,
180,976,3,106,1502091,2015-02-05,,60,0,0,False,True,2015-02-11,,False,False,2015-05-26 19:46:10,2015-05-26 19:47:18,
181,976,3,107,1502092,2015-02-05,,45,0,0,False,True,2015-02-09,,False,False,2015-05-26 19:48:12,2015-05-26 20:01:34,
182,976,3,108,1502093,2015-02-06,,40,0,0,False,True,2015-02-12,,False,False,2015-05-28 15:11:59,2015-05-28 17:44:46,
183,4,3,109,1502094,2015-05-29,,0,0,0,False,True,2015-02-06,,False,False,2015-05-28 17:53:52,,
184,57,3,110,1502095,2015-02-09,,9,0,0,False,True,2015-02-13,,False,False,2015-05-28 20:06:47,2015-05-28 20:14:11,
185,55,3,111,1502096,2015-02-09,,20,0,0,False,True,2015-02-11,,False,False,2015-05-28 20:42:29,2015-05-28 20:44:30,
186,2,3,112,1502097,2015-02-09,,0,0,0,False,True,2015-02-09,,False,False,2015-06-07 17:34:48,,
187,366,3,113,1502099,2015-02-09,,10,0,0,False,True,2015-02-10,,False,False,2015-06-07 17:41:27,2015-06-07 20:08:49,
188,1163,3,116/II,1502101,2015-02-10,,10,0,0,False,True,2015-02-11,,False,False,2015-06-07 20:15:26,2015-06-07 20:23:48,
189,976,3,114,1502107,2015-02-12,,10,0,0,False,True,2015-02-13,,False,False,2015-06-07 20:24:32,2015-06-07 20:25:15,
190,976,3,115,1502108,2015-02-13,,10,0,0,False,True,2015-02-13,,False,False,2015-06-07 20:27:56,2015-06-07 20:28:46,
191,976,3,116,1502109,2015-02-13,,4,0,0,False,True,2015-02-13,,False,False,2015-06-07 20:29:41,2015-06-07 20:33:24,
192,976,3,117,1502110,2015-02-13,,9,0,0,False,True,2015-02-13,,False,False,2015-06-07 20:35:55,2015-06-07 21:22:53,
193,976,3,118,1502111,2015-02-13,,40,0,0,False,True,2015-02-17,,False,False,2015-06-07 21:24:11,2015-06-07 21:32:13,
194,976,3,119,1502112,2015-02-16,,20,0,0,False,True,2015-02-16,,False,False,2015-06-07 21:37:57,2015-06-07 21:48:32,
195,976,3,120,1502113,2015-02-16,,20,0,0,False,True,2015-02-18,,False,False,2015-06-07 21:53:42,2015-06-07 22:43:55,
196,976,3,121,1502114,2015-02-16,,71,0,0,False,True,2015-02-20,,False,False,2015-06-08 15:34:29,2015-06-08 15:59:39,
197,1188,3,122,1502115,2015-02-16,,10,0,0,False,True,2015-02-17,,False,False,2015-06-09 16:21:17,2015-06-09 16:33:58,
198,26,3,128/11,1502116,2015-02-18,,0,0,0,False,True,2015-02-18,,False,False,2015-06-09 16:37:01,,
199,976,3,123,1502117,2015-02-18,,9,0,0,False,True,2015-02-23,,False,False,2015-06-09 17:12:24,2015-06-09 17:18:24,
