Id,Code,SalesOrderId,DeliveryDate,WarehouseId,NomorSurat,ExchangeRateAmount,ExchangeRateId,Remark,TotalCOGS,IsConfirmed,ConfirmationDate,IsInvoiceCompleted,IsDeleted,DeletedAt,CreatedAt,UpdatedAt
1,2014.12.1,4,2014-12-03,2,003.14.64493438,1,,,0,False,,False,False,,2014-12-22 14:40:15,2014-12-30 10:46:43
2,2014.12.2,5,2014-12-15,2,003.14.64493618,1,,,0,False,,False,False,,2014-12-22 15:03:42,2014-12-30 10:46:50
3,2014.12.3,1,2014-12-16,2,003.14.64493628,1,,,0,False,,False,False,,2014-12-22 15:27:53,2014-12-30 10:44:39
4,2014.12.4,7,2014-12-17,2,003.14.64493657,1,,,0,True,2014-12-17,True,False,,2014-12-22 15:35:28,2015-02-04 22:01:52
5,2014.12.5,13,2014-12-03,2,003.14.64493437,1,,,1398383.25,True,2014-12-03,True,False,,2014-12-22 15:42:30,2015-02-04 21:58:55
6,2014.12.6,12,2014-12-01,2,003.14.64493400,1,,,533691.2,True,2014-12-01,True,False,,2014-12-22 15:53:20,2015-02-04 21:51:37
7,2014.12.7,3,2014-12-01,2,003.14.64493401,1,,,0,False,,False,False,,2014-12-22 15:57:50,2014-12-30 10:46:29
8,2014.12.8,2,2014-12-11,2,003.14.64493558,1,,,0,False,,False,False,,2014-12-22 16:06:05,2014-12-30 10:47:05
9,2014.12.9,16,2014-12-10,2,003.14.64493540,12158,6,,1470417,True,2014-12-10,True,False,,2014-12-22 16:13:08,2015-02-04 21:48:13
10,2014.12.10,8,2014-12-15,2,003.14.64493602,1,,,0,False,,False,True,2015-02-04 20:32:15,2014-12-22 16:19:47,2014-12-30 10:46:58
11,2014.12.11,17,2014-12-12,2,003.14.64493566,1,,,1981121.84,True,2014-12-12,True,False,,2014-12-22 16:19:48,2015-02-04 21:34:12
12,2014.12.12,18,2014-12-10,2,003.14.64493539,1,,,4131347.7,True,2014-12-10,True,False,,2014-12-22 16:20:46,2015-02-16 22:12:23
13,2014.12.13,19,2014-12-09,4,003.14.64493529,12158,6,,5344656.8,True,2014-12-09,True,False,,2014-12-22 16:29:28,2015-02-16 22:23:38
14,2014.12.14,20,2014-12-12,2,003.14.64493563,1,,,1034567.6,True,2014-12-12,True,False,,2014-12-22 16:33:10,2015-02-04 21:29:37
15,2014.12.15,10,2014-12-15,2,003.14.64493601,1,,,1884490,True,2014-12-15,True,False,,2014-12-22 16:34:23,2015-02-04 20:29:48
16,2014.12.16,21,2014-12-10,2,003.14.64493536,1,,,5397586.72,True,2014-12-10,True,False,,2014-12-22 16:40:12,2015-02-04 21:25:10
17,2014.12.17,6,2014-12-01,2,003.14.64493394,12158,6,,12856558.1,True,2014-12-01,True,False,,2014-12-22 16:50:08,2015-02-04 22:31:26
18,2014.12.18,22,2014-12-09,2,003.14.64493516,12158,6,,2796766.5,True,2014-12-09,True,False,,2014-12-22 16:50:55,2015-02-04 21:22:03
19,2014.12.19,24,2014-12-08,4,003.14.64493515,1,,,1130694,True,2014-12-08,True,False,,2014-12-22 17:11:53,2015-02-16 22:42:43
20,2014.12.20,23,2014-12-09,2,003.14.64493526,0,,,0,False,,False,False,,2014-12-22 17:12:47,
21,2014.12.21,25,2014-12-05,2,003.14.64493501,1,,,2698793.36,True,2014-12-05,True,False,,2014-12-22 17:17:40,2015-02-04 22:12:51
22,2014.12.22,27,2014-12-04,2,003.14.64493471,12158,6,,1833483.6,True,2014-12-04,True,False,,2014-12-22 17:22:36,2015-02-04 22:10:19
23,2014.12.23,26,2014-12-08,4,003.14.64493513,1,,,2341995.54,True,2014-12-08,True,False,,2014-12-22 17:25:09,2015-02-04 22:23:51
24,2014.12.24,28,2014-12-11,2,003.14.64493561,12158,6,,2065065.15,True,2014-12-11,True,False,,2014-12-22 17:29:54,2015-02-04 22:07:39
25,2014.12.25,30,2014-12-02,2,003.14.64493422,12158,6,,3400872.24,True,2014-12-02,True,False,,2014-12-23 08:33:00,2015-02-04 21:16:23
26,2014.12.26,31,2014-12-02,2,003.14.64493421,12158,6,,14531241.6,True,2014-12-02,True,False,,2014-12-23 08:49:59,2015-02-04 21:06:48
27,2014.12.27,14,2014-12-03,2,003.14.64493445,0,,,0,False,,False,False,,2014-12-23 09:10:04,
28,2014.12.28,32,2014-12-02,2,003.14.64493419,12158,6,,294083.4,True,2014-12-02,True,False,,2014-12-23 09:14:36,2015-02-04 20:59:47
29,2014.12.29,33,2014-12-02,2,003.14.64493413,12158,6,,213569.28,True,2014-12-02,True,False,,2014-12-23 09:16:16,2015-02-04 20:56:17
30,2014.12.30,34,2014-12-10,2,003.14.64493537,1,,,0,False,,False,False,,2014-12-23 09:34:21,2014-12-30 10:45:07
31,2014.12.31,36,2014-12-11,2,003.14.64493550,12612.25,3,,0,False,,False,False,,2014-12-23 09:48:30,2014-12-30 10:44:55
32,2014.12.32,37,2014-12-03,2,003.14.64493440,0,,,0,False,,False,False,,2014-12-23 09:52:35,2014-12-23 09:54:33
33,2014.12.33,39,2014-12-01,4,003.14.64493402,12158,6,,2727023.64,True,2014-12-01,True,False,,2014-12-23 10:01:49,2015-02-16 22:27:18
34,2014.12.34,38,2014-12-11,2,003.14.64493551,0,,,0,False,,False,False,,2014-12-23 10:06:02,
35,2014.12.35,40,2014-12-03,4,003.14.64493453,1,,,2137862.72,True,2014-12-03,True,False,,2014-12-23 10:11:04,2015-02-16 22:31:19
36,2014.12.36,35,2014-12-12,2,003.14.64493562,0,,,0,False,,False,False,,2014-12-23 10:11:46,
37,2014.12.37,41,2014-12-01,4,003.14.64493397,0,,,0,False,,False,False,,2014-12-23 10:13:31,2014-12-23 10:15:12
38,2014.12.38,42,2014-12-04,2,003.14.64493459,12158,6,,0,True,2014-12-04,True,False,,2014-12-23 10:23:26,2015-02-04 22:27:49
39,2014.12.39,43,2014-12-04,2,003.14.64493470,0,,,0,False,,False,False,,2014-12-23 10:35:28,
40,2014.12.40,44,2014-12-04,2,003.14.64493458,0,,,0,False,,False,False,,2014-12-23 10:35:38,
41,2014.12.41,45,2014-12-04,2,003.14.64493457,12612.25,3,,0,False,,False,True,2014-12-23 10:52:47,2014-12-23 10:40:20,2014-12-23 10:52:04
42,2014.12.41,45,2014-12-04,2,003.14.64493457,12158,6,,1485933.76,True,2014-12-04,True,False,,2014-12-23 10:54:04,2015-02-16 22:35:15
43,2014.12.42,46,2014-12-04,2,003.14.64493469,1,,,16323563.76,True,2014-12-04,True,False,,2014-12-23 10:57:00,2015-02-04 20:24:51
44,2014.12.43,47,2014-12-04,2,003.14.64493456,12158,6,,1485933.76,True,2014-12-04,True,False,,2014-12-23 10:58:42,2015-02-16 22:39:25
45,2014.12.44,49,2014-12-04,2,003.14.64493454,1,,,279676.65,True,2014-12-04,True,False,,2014-12-23 11:04:02,2015-02-04 20:41:18
46,2014.12.45,48,2014-12-04,2,003.14.64493464,1,,,8491842.24,True,2014-12-04,True,False,,2014-12-23 11:12:26,2015-02-04 20:17:26
47,2014.12.46,50,2014-12-04,2,003.14.64493460,12158,6,,0,True,2014-12-04,True,False,,2014-12-23 11:30:29,2015-02-04 20:21:28
48,2014.12.47,51,2014-12-03,2,003.14.64493452,0,,,0,False,,False,False,,2014-12-23 11:39:52,
49,2014.12.48,53,2014-12-01,2,003.14.64493393,0,,,0,False,,False,True,2015-02-03 20:21:33,2014-12-23 14:05:24,
50,2014.12.49,55,2014-12-22,2,003.14.64493721,12158,6,,2754231.8,True,2014-12-22,True,False,,2014-12-24 14:51:10,2015-02-04 22:14:48
51,2014.12.50,96,2014-12-30,5,DUMMY,0,,,0,False,,False,False,,2014-12-30 10:34:41,2014-12-30 10:42:39
52,2015.1.1,100,2014-12-29,4,003.14.64493785,0,,,0,False,,False,False,,2015-01-19 05:54:53,
53,2015.1.2,82,2015-01-22,2,003.14.64493716,12158,6,,3574452,True,2014-12-22,False,False,,2015-01-19 06:01:47,2015-01-23 05:22:31
54,2015.1.3,83,2014-12-22,2,003.14.64493717,1,,,1398383.29,True,2014-12-22,False,False,,2015-01-19 07:44:13,2015-01-23 05:22:39
55,2015.1.4,75,2014-12-02,4,003.14.64493435,0,,,0,False,,False,False,,2015-01-19 07:51:41,
56,2015.1.5,102,2014-12-31,2,003.14.64493820,1,,,4741620,True,2014-12-31,True,False,,2015-01-28 16:21:34,2015-01-29 08:25:15
57,2015.1.6,104,2014-12-31,2,003.14.64493828,1,,,2127650,True,2014-12-31,True,False,,2015-01-29 08:36:17,2015-01-29 08:38:50
58,2015.1.7,105,2014-12-04,2,003.14.64493455,1,,,690574.4,True,2014-12-04,True,False,,2015-01-29 08:50:04,2015-01-29 08:53:54
59,2015.1.8,106,2014-12-30,2,003.14.64493788,12158,6,,2144671.2,True,2014-12-30,True,False,,2015-01-29 09:06:46,2015-01-29 09:10:07
60,2015.1.9,107,2014-12-30,2,003.14.64493789,1,,,798277.5,True,2014-12-30,True,False,,2015-01-29 09:16:24,2015-01-29 09:19:25
61,2015.1.10,108,2014-12-30,2,003.14.64493790,1,,,0,False,,False,True,2015-01-29 09:37:40,2015-01-29 09:23:29,2015-01-29 09:36:01
62,2015.1.10,108,2014-12-30,2,003.14.64493790,1,,,4741620,True,2014-12-30,True,False,,2015-01-29 09:41:09,2015-01-29 09:43:18
63,2015.1.11,109,2014-12-30,2,003.14.64493805,1,,,357445.2,True,2014-12-30,True,False,,2015-01-29 09:48:32,2015-01-29 09:51:18
64,2015.1.12,110,2015-01-29,2,003.14.64493488,1,,,357445.2,True,2014-12-05,True,False,,2015-01-29 09:59:16,2015-01-29 10:01:28
65,2015.1.13,111,2014-12-05,2,003.14.64493487,1,,,2382968,True,2014-12-05,True,False,,2015-01-29 10:18:33,2015-01-29 10:20:45
66,2015.1.14,112,2014-12-05,2,003.14.64493486,1,,,279676.65,True,2014-12-05,True,False,,2015-01-29 10:29:26,2015-01-29 10:31:19
67,2015.1.15,113,2014-12-04,2,003.14.64493463,1,,,690574.4,True,2014-12-04,True,False,,2015-01-29 10:43:36,2015-01-29 10:46:29
68,2015.1.16,114,2014-12-04,2,003.14.64493461,1,,,1101692.72,True,2014-12-04,True,False,,2015-01-29 11:11:11,2015-01-29 11:14:19
69,2015.1.17,115,2014-12-02,2,003.14.64493431,1,,,1551851.4,True,2014-12-02,True,False,,2015-01-29 11:25:10,2015-01-29 11:30:33
70,2015.1.18,116,2014-12-02,2,003.14.64493424,1,,,0,False,,False,True,2015-01-29 11:50:47,2015-01-29 11:43:39,2015-01-29 11:50:14
71,2015.1.18,116,2014-12-02,2,003.14.64493424,1,,,1986860.36,True,2014-12-02,True,False,,2015-01-29 11:58:09,2015-01-29 13:09:17
72,2015.1.19,117,2014-12-02,2,003.14.64493418,1,,,1601073.6,True,2014-12-02,True,False,,2015-01-29 13:26:45,2015-01-29 13:29:40
73,2015.1.20,118,2014-12-02,2,003.14.64493417,1,,,2101597.14,True,2014-12-02,True,False,,2015-01-29 13:41:35,2015-01-29 13:47:08
74,2015.1.21,119,2014-12-02,2,003.14.64493416,1,,,4195149.75,True,2014-12-02,True,False,,2015-01-29 14:02:07,2015-01-29 14:04:57
75,2015.1.22,120,2014-12-01,2,003.14.64493398,1,,,3271812,True,2014-12-01,True,False,,2015-01-29 14:13:27,2015-01-29 14:16:18
76,2015.1.23,121,2014-12-30,2,003.14.64493795,1,,,1034567.6,True,2014-12-30,True,False,,2015-01-29 14:25:19,2015-01-29 14:27:31
77,2015.1.24,122,2014-12-03,2,003.14.64493444,1,,,3452872,True,2014-12-03,True,False,,2015-01-29 14:57:48,2015-01-29 14:59:59
78,2015.1.25,123,2014-12-17,2,003.14.64493662,12158,6,,0,False,,False,True,2015-01-29 16:49:50,2015-01-29 15:05:47,2015-01-29 16:49:24
79,2015.1.26,124,2014-12-19,2,003.14.64493695,12158,6,,0,False,,False,True,2015-01-30 08:47:37,2015-01-29 15:13:42,2015-01-30 08:47:08
80,2015.1.27,125,2014-12-19,2,003.14.64493694,12158,6,,0,False,,False,True,2015-01-30 08:59:37,2015-01-29 15:21:34,2015-01-30 08:59:06
81,2015.1.28,126,2014-12-16,2,003.14.64493638,12158,6,,14006016,True,2014-12-16,True,False,,2015-01-29 15:34:41,2015-01-29 15:38:15
82,2015.1.29,127,2014-12-16,2,003.14.64493620,12158,6,,10504512,True,2014-12-16,True,False,,2015-01-29 15:43:51,2015-01-29 15:47:04
83,2015.1.30,128,2014-12-15,2,003.14.64493599,12158,6,,8491842.24,True,2014-12-15,True,False,,2015-01-29 15:54:07,2015-01-29 15:56:29
84,2015.1.31,129,2014-12-15,2,003.14.64493600,12158,6,,4149290.8,True,2014-12-15,True,False,,2015-01-29 16:07:06,2015-01-29 16:13:18
85,2015.1.32,130,2014-12-12,2,003.14.64493573,12158,6,,3400872.24,True,2015-01-12,True,False,,2015-01-29 16:16:57,2015-01-29 16:19:16
86,2015.1.33,131,2014-12-12,2,003.14.64493572,12158,6,,1034567.6,True,2014-12-12,True,False,,2015-01-29 16:23:59,2015-01-29 16:26:01
87,2015.1.33,123,2014-12-17,2,003.14.64493662,12158,6,,8491842.24,True,2014-12-17,True,False,,2015-01-29 16:56:46,2015-01-29 17:03:48
88,2015.1.33,124,2014-12-19,2,003.14.64493695,12158,6,,2613970,True,2014-12-19,True,False,,2015-01-30 08:54:26,2015-01-30 08:57:09
89,2015.1.33,125,2014-12-19,2,003.14.64493694,12158,6,,2051553.08,True,2014-12-19,True,False,,2015-01-30 09:02:29,2015-01-30 09:05:29
90,2015.1.34,132,2014-12-16,2,003.14.64493649,1,,,2834060.2,True,2014-12-16,True,False,,2015-01-30 09:18:12,2015-01-30 09:23:48
91,2015.1.35,133,2014-12-16,2,003.14.64493648,1,,,2101597.14,True,2014-12-16,True,False,,2015-01-30 09:29:43,2015-01-30 09:35:28
92,2015.1.36,134,2014-12-08,2,003.14.64493509,1,,,729480,True,2014-12-08,True,False,,2015-01-30 10:44:13,2015-01-30 10:47:01
93,2015.1.37,135,2014-12-08,2,003.14.64493508,1,,,1470417,True,2014-12-08,True,False,,2015-01-30 10:50:22,2015-01-30 10:52:03
94,2015.1.38,136,2014-12-17,2,003.14.64493660,1,,,2796766.5,True,2014-12-17,True,False,,2015-01-30 10:56:26,2015-01-30 10:58:10
95,2015.1.39,138,2014-12-18,2,003.14.64493673,1,,,1884490,True,2014-12-18,True,False,,2015-01-30 11:14:48,2015-01-30 11:16:17
96,2015.1.40,139,2014-12-19,2,003.14.64493684,1,,,1133624.08,True,2014-12-19,True,False,,2015-01-30 11:26:39,2015-01-30 11:27:58
97,2015.1.41,140,2014-12-19,2,003.14.64493698,1,,,1845934.8,True,2014-12-19,True,False,,2015-01-30 11:32:27,2015-01-30 11:34:35
98,2015.1.42,141,2014-12-19,2,003.14.64493711,1,,,2137862.72,True,2014-12-19,True,False,,2015-01-30 11:38:21,2015-01-30 11:40:06
99,2015.1.43,142,2014-12-19,2,003.14.64493706,1,,,8563348.94,True,2014-12-19,True,False,,2015-01-30 11:46:54,2015-01-30 11:49:16
100,2015.1.44,143,2014-12-23,2,003.14.64493744,1,,,294083.4,True,2014-12-23,True,False,,2015-01-30 11:52:59,2015-01-30 11:54:40
101,2015.1.45,144,2014-12-19,2,003.14.64493699,1,,,2834060.2,True,2014-12-19,True,False,,2015-01-30 13:17:14,2015-01-30 13:18:43
102,2015.1.46,145,2014-12-23,2,003.14.64493743,1,,,5668120.4,True,2014-12-23,True,False,,2015-01-30 13:22:08,2015-01-30 13:23:19
103,2015.1.47,146,2014-12-22,2,003.14.64493725,1,,,4589645,True,2014-12-22,True,False,,2015-01-30 13:27:49,2015-01-30 13:29:21
104,2015.1.48,147,2014-12-30,2,003.14.64493804,1,,,3103702.8,True,2014-12-30,True,False,,2015-01-30 13:32:54,2015-01-30 13:34:19
105,2015.1.49,148,2014-12-24,2,003.14.64493760,1,,,7537960,True,2014-12-24,True,False,,2015-01-30 13:37:42,2015-01-30 13:39:34
106,2015.1.50,149,2014-12-29,2,003.14.64493778,1,,,1872022.42,True,2014-12-29,True,False,,2015-01-30 13:47:16,2015-01-30 13:49:37
107,2015.1.51,150,2014-12-24,2,003.14.64493756,1,,,3452872,True,2014-12-24,True,False,,2015-01-30 15:20:53,2015-01-30 15:25:51
108,2015.1.52,151,2014-12-23,2,003.14.64493749,1,,,5593533,True,2014-12-23,True,False,,2015-01-30 15:41:36,2015-01-30 15:49:23
109,2015.1.53,152,2014-12-23,2,003.14.64493748,1,,,3193110,True,2014-12-23,True,False,,2015-01-30 16:06:05,2015-01-30 16:08:44
110,2015.1.54,153,2014-12-30,2,003.14.64493819,1,,,2137862.72,True,2014-12-30,True,False,,2015-01-30 16:34:18,2015-01-30 16:35:42
111,2015.1.55,154,2014-12-24,2,003.14.64493769,1,,,817017.6,True,2014-12-24,True,False,,2015-01-30 16:38:09,2015-01-30 16:49:35
