Id,Code,ContactId,PurchaseDate,NomorSurat,CurrencyId,Description,AllowEditDetail,IsConfirmed,ConfirmationDate,IsReceivalCompleted,IsDeleted,DeletedAt,CreatedAt,UpdatedAt
1,2014.12.1,972,2014-12-17,14073,1,,False,True,2014-12-17,True,False,,2014-12-23 10:39:34,2015-01-23 08:54:33
2,2014.12.2,944,2014-12-12,OP-ZGA 1412206,1,,False,True,2014-12-12,True,False,,2014-12-23 11:30:20,2015-02-12 21:17:46
3,2014.12.3,387,2014-12-12,14072,1,,False,True,2014-12-12,False,False,,2014-12-23 11:44:28,
4,2014.12.4,382,2014-12-16,OP-ZGA 1412208,1,,False,True,2014-12-16,True,False,,2014-12-23 11:54:27,2015-02-12 16:58:41
5,2014.12.5,375,2014-12-12,OP-ZGA 1412205,1,,False,True,2014-12-12,True,False,,2014-12-23 14:08:51,2015-02-12 16:38:18
6,2014.12.6,973,2014-12-16,OP-ZGA 1412209,1,,False,True,2014-12-16,True,False,,2014-12-23 14:44:54,2015-01-23 08:54:26
7,2014.12.7,465,2014-12-12,OP-ZGA 1412204,2,,False,True,2014-12-12,True,False,,2014-12-23 15:09:23,2015-02-12 16:48:04
8,2014.12.8,474,2014-12-01,OP-ZGA 1412196,1,,False,False,,False,True,2014-12-23 15:40:26,2014-12-23 15:27:29,
9,2014.12.8,974,2014-12-11,OP-ZGA 1412202,1,,False,False,,False,True,2014-12-23 16:05:05,2014-12-23 16:01:39,
10,2014.12.8,974,2014-12-11,OP-ZGA 1412202,1,,False,True,2014-12-11,True,False,,2014-12-23 16:52:00,2015-02-12 16:50:05
11,2014.12.9,484,2014-12-22,14075,1,,False,False,,False,True,2014-12-24 11:00:08,2014-12-24 10:06:25,
12,2014.12.9,484,2014-12-22,14074,1,,False,True,2014-12-22,False,False,,2014-12-24 11:06:50,2015-02-12 22:13:38
13,2014.12.10,418,2014-12-11,OP-ZGA 1412203,1,,False,True,2014-12-11,False,False,,2014-12-24 11:21:57,
14,2014.12.11,935,2014-12-03,OP-ZGA 1412201,2,,False,True,2014-12-03,True,False,,2014-12-24 11:24:58,2015-01-23 08:53:44
15,2014.12.12,377,2014-12-02,OP-ZGA 1412200,1,,False,True,2014-12-02,True,False,,2014-12-24 11:35:05,2015-02-12 16:29:06
16,2014.12.13,938,2014-12-03,OP-ZGA 1412199,2,,False,True,2014-12-03,True,False,,2014-12-24 11:54:01,2015-01-23 08:53:46
17,2014.12.14,427,2014-12-01,OP-ZGA 1412197,1,,False,True,2014-12-01,True,False,,2014-12-24 13:54:08,2015-02-12 19:33:32
18,2014.12.15,375,2014-12-22,OP-ZGA 1412214,1,,False,True,2014-12-22,True,False,,2014-12-24 14:07:23,2015-02-12 19:36:17
19,2014.12.16,457,2014-12-22,OP-ZGA 1412213,1,,False,True,2014-12-22,True,False,,2014-12-24 14:14:41,2015-02-12 19:32:53
20,2014.12.17,488,2014-12-19,OP-ZGA 1412212,1,,False,True,2014-12-19,True,False,,2014-12-24 14:20:41,2015-02-12 18:00:24
21,2014.12.18,931,2014-12-19,OP-ZGA 1412211,2,,False,True,2014-12-19,True,False,,2014-12-24 15:01:12,2015-03-10 22:19:34
22,2014.12.19,426,2014-12-23,OP-ZGA 1412215,1,,False,True,2014-12-23,True,False,,2014-12-24 15:40:31,2015-01-29 11:39:55
23,2014.12.20,977,2014-12-18,OP-ZGA 1412210,1,,False,True,2014-12-18,True,False,,2014-12-24 15:48:34,2015-02-15 21:51:25
24,2014.12.21,457,2014-12-02,OP-ZGA 1412198,1,,False,True,2014-12-02,True,False,,2014-12-24 15:51:53,2015-02-12 16:24:00
25,2015.1.1,933,2014-12-11,81/ZGA/XII/2014,2,,False,False,,False,True,2015-01-02 06:31:58,2015-01-02 06:31:10,
26,2015.1.1,933,2014-12-02,81/ZGA/XII/2014,2,,False,True,2014-12-12,True,False,,2015-01-02 07:35:34,2015-01-29 11:41:04
27,2015.1.2,1173,2014-12-10,82/ZGA/XII/2014,3,,False,True,2014-12-10,True,False,,2015-01-02 08:16:08,2015-01-29 10:14:29
28,2015.1.3,1173,2014-12-11,83/ZGA/XII/2014,3,,False,True,2014-12-11,False,False,,2015-01-02 08:18:06,
29,2015.1.4,1174,2014-12-11,84/ZGA/XII/2014,3,,False,True,2014-12-11,False,False,,2015-01-02 08:28:28,
30,2015.1.5,1173,2014-12-19,85/ZGA/XII/2014,3,,False,True,2014-12-19,False,False,,2015-01-02 09:07:49,
31,2015.1.6,933,2014-12-31,86/ZGA/XII/2014,2,,False,True,2014-12-31,True,False,,2015-01-02 10:45:52,2015-02-10 16:39:56
32,2015.1.7,942,2014-09-03,060/ZGA/IX/2014,3,,False,False,,False,True,2015-01-05 09:33:14,2015-01-05 08:36:57,
33,2015.1.7,933,2014-11-20,074/ZGA/XI/2014,2,,False,False,,False,True,2015-01-06 10:25:36,2015-01-05 09:35:24,
34,2015.1.8,1176,2014-12-12,79/ZGA/XI/2014,2,,False,False,,False,True,2015-01-05 11:29:54,2015-01-05 11:25:18,
35,2015.1.8,1176,2014-11-12,79/ZGA/XI/2014,2,,False,False,,False,False,,2015-01-05 11:33:48,2015-03-11 15:16:04
36,2015.1.8,945,2014-09-15,064/ZGA/IX/2014,3,,False,True,2014-09-15,False,False,,2015-01-06 10:29:41,
37,2015.1.9,473,2015-01-02,OP_ZGA 1501001,1,,False,True,2015-01-02,True,False,,2015-01-14 10:03:38,2015-02-15 21:52:51
38,2015.1.10,423,2015-01-02,OP-ZGA 1501002,2,,False,True,2015-01-02,True,False,,2015-01-14 10:18:18,2015-03-04 17:34:39
39,2015.1.11,1177,2015-01-06,OP-ZGA 1501003,1,,False,True,2015-01-06,False,False,,2015-01-14 10:26:03,2015-01-14 10:26:24
40,2015.1.12,935,2015-01-06,OP-ZGA 1501004,2,,False,True,2015-01-06,True,False,,2015-01-14 10:38:14,2015-01-29 10:43:24
41,2015.1.13,938,2015-01-06,OP-ZGA 1501005,2,,False,True,2015-01-06,True,False,,2015-01-14 10:49:04,2015-01-29 10:37:57
42,2015.1.14,377,2015-01-08,OP-ZGA 1501006,1,,False,True,2015-01-08,True,False,,2015-01-14 10:51:23,2015-02-15 22:01:53
43,2015.1.15,1178,2015-01-08,OP-ZGA 1501007,1,,False,True,2015-01-08,True,False,,2015-01-14 11:11:52,2015-03-04 17:34:12
44,2015.1.16,938,2015-01-09,OP-ZGA 1501008,2,,False,True,2015-01-09,True,False,,2015-01-14 11:25:40,2015-02-12 19:33:22
45,2015.1.17,457,2015-01-09,OP-ZGA 1501009,1,,False,True,2015-01-09,True,False,,2015-01-14 11:42:35,2015-02-15 21:59:50
46,2015.1.18,417,2015-01-09,OP-ZGA 1501010,1,,False,True,2015-01-09,False,False,,2015-01-14 11:45:57,
47,2015.1.19,933,2015-01-06,001/ZGA/I/2015,2,,False,True,2015-01-09,True,False,,2015-01-14 13:31:21,2015-02-11 20:47:17
48,2015.1.20,473,2014-11-04,OP-ZGA 1411182,2,,False,True,2014-11-04,True,False,,2015-01-19 08:55:15,2015-03-04 17:34:53
49,2015.1.21,447,2014-11-03,OP-ZGA 1411180,2,,False,True,2014-11-03,True,False,,2015-01-19 08:59:04,2015-02-12 16:27:55
50,2015.1.22,458,2014-11-11,OP-ZGA 1411185,1,,False,True,2014-11-11,True,False,,2015-01-19 09:30:22,2015-02-15 22:04:49
51,2015.1.23,942,2014-09-03,060/ZGA/IX/2014,3,,False,True,2014-09-03,False,False,,2015-01-19 10:20:26,
52,2015.1.24,942,2014-10-01,068/ZGA/X/2014,3,,False,True,2014-10-01,True,False,,2015-01-20 03:23:45,2015-03-04 17:34:28
53,2015.1.25,1179,2014-07-14,052/ZGA/VII/2014,2,,True,True,2014-07-14,False,False,,2015-01-21 04:28:55,2015-04-01 19:49:58
54,2015.1.26,941,2014-11-12,075/ZGA/XI/2014,3,,False,True,2014-11-12,True,False,,2015-01-21 06:04:35,2015-02-09 15:11:24
55,2015.1.27,941,2014-11-12,078/ZGA/XI/2014,3,,False,True,2014-11-12,False,False,,2015-01-21 07:57:45,
56,2015.1.28,933,2014-11-11,074/ZGA/XI/2014,2,,False,True,2014-11-11,True,False,,2015-01-21 08:02:13,2015-01-29 10:06:18
57,2015.1.29,933,2014-11-11,073/ZGA/XI/2014,2,,False,True,2014-11-11,True,False,,2015-01-21 08:16:45,2015-01-29 10:24:12
58,2015.1.30,1179,2014-11-11,077/ZGA/XI/2014,2,,True,True,2014-11-11,True,False,,2015-01-21 09:04:49,2015-04-07 16:34:33
59,2015.1.31,1176,2014-11-12,079/ZGA/XI/2014,2,,False,True,2015-03-13,False,False,,2015-01-21 09:19:57,2015-03-12 15:04:36
60,2015.1.32,1173,2015-01-21,082/ZGAXII/2014,3,,False,True,2014-12-10,False,False,,2015-01-21 09:23:31,
61,2015.1.33,1173,2014-12-11,083/ZGA/XII/2014,3,,False,True,2014-12-11,True,False,,2015-01-21 09:26:09,2015-01-29 10:22:49
62,2015.1.34,442,2014-08-28,OP-ZGA 1408151,1,,False,True,2014-08-28,False,False,,2015-01-21 10:45:48,
63,2015.2.1,375,2015-01-20,OP-ZGA 1501011,1,,False,True,2015-01-20,True,False,,2015-02-09 16:00:43,2015-02-15 22:06:27
64,2015.2.2,450,2015-01-26,OP-ZGA 1501012,1,,False,True,2015-01-26,True,False,,2015-02-09 16:09:53,2015-02-15 22:23:15
65,2015.2.3,384,2015-02-10,OP-ZGA 1501013,1,,False,True,2015-01-26,False,False,,2015-02-09 16:22:50,
66,2015.2.4,390,2015-01-26,OP-ZGA 1501014,1,,False,True,2015-01-26,True,False,,2015-02-09 16:26:23,2015-02-15 22:41:30
67,2015.2.5,931,2015-01-27,OP-ZGA 1501015,2,,False,True,2015-01-27,True,False,,2015-02-09 16:44:09,2015-02-10 16:31:35
68,2015.2.6,423,2015-01-29,OP-ZGA 1501016,2,,False,True,2015-01-29,True,False,,2015-02-09 16:53:34,2015-03-04 21:13:58
69,2015.2.7,933,2015-02-02,123,2,,False,False,,False,True,2015-02-09 17:31:37,2015-02-09 17:30:10,
70,2015.2.7,375,2015-02-02,OP-ZGA 1502017,1,,False,True,2015-02-02,True,False,,2015-02-09 19:22:40,2015-02-15 22:37:38
71,2015.2.8,377,2015-02-02,OP-ZGA 1502018,1,,False,True,2015-02-02,True,False,,2015-02-09 19:30:49,2015-02-15 22:39:04
72,2015.2.9,457,2015-02-02,OP-ZGA 1502019,1,,False,True,2015-02-02,True,False,,2015-02-09 19:32:26,2015-02-15 22:33:36
73,2015.2.10,944,2015-02-02,OP-ZGA 1501020,1,,False,True,2015-02-02,True,False,,2015-02-09 19:35:04,2015-02-15 22:35:01
74,2015.2.11,472,2015-02-03,OP-ZGA 1502021,1,,False,True,2015-02-03,False,False,,2015-02-09 19:43:25,
75,2015.2.12,384,2015-02-03,OP-ZGA 1502022,1,,False,True,2015-02-03,False,False,,2015-02-09 19:59:52,
76,2015.2.13,390,2015-02-04,OP-ZGA 1502023,1,PPH 2% ,False,False,,False,True,2015-02-09 20:16:49,2015-02-09 20:01:51,2015-02-09 20:12:16
77,2015.2.13,390,2015-02-04,OP-ZGA 1502023,1,,False,True,2015-02-04,False,False,,2015-02-09 20:17:16,
78,2015.2.14,417,2015-02-06,OP-ZGA 1502024,1,,False,True,2015-02-06,False,False,,2015-02-09 20:18:48,
79,2015.2.15,447,2015-02-09,OP-ZGA 1502025,2,,False,True,2015-02-09,False,False,,2015-02-09 20:25:18,
80,2015.2.16,375,2015-02-09,OP_ZGA 1502026,1,,False,True,2015-02-09,False,False,,2015-02-09 20:28:15,
81,2015.2.17,377,2015-02-09,OP-ZGA 1502027,1,,False,True,2015-02-09,False,False,,2015-02-09 20:49:58,
82,2015.2.18,390,2015-02-10,OP-ZGA 1502028,1,,False,True,2015-02-10,False,False,,2015-02-09 20:51:40,
83,2015.2.19,1196,2015-01-05,15001,1,,False,True,2015-01-05,True,False,,2015-02-09 21:01:32,2015-02-15 21:50:06
84,2015.2.20,1197,2015-01-05,15002,1,,False,False,,False,True,2015-02-09 21:22:24,2015-02-09 21:10:32,
85,2015.2.20,1198,2015-02-05,15002,1,,False,True,2015-02-05,False,False,,2015-02-09 21:26:26,
86,2015.2.21,972,2015-01-08,15003,1,,False,True,2015-01-08,False,False,,2015-02-09 21:32:21,
87,2015.2.22,1199,2015-01-08,15004,1,,False,True,2015-01-08,False,False,,2015-02-09 21:36:35,
88,2015.2.23,1201,2015-01-09,15005,1,,False,True,2015-01-09,False,False,,2015-02-10 22:14:42,
89,2015.2.24,972,2015-01-12,15006,1,,False,True,2015-01-12,False,False,,2015-02-10 22:19:14,
90,2015.2.25,474,2014-12-01,OP-ZGA 1411196,1,,False,True,2014-12-01,True,False,,2015-02-12 17:23:14,2015-02-12 17:58:45
91,2015.2.26,972,2014-12-23,14075,1,,False,True,2014-12-23,True,False,,2015-02-12 22:14:41,2015-02-12 22:43:25
92,2015.2.27,945,2014-11-13,080/ZGA/XI/2014-REV,3,,False,True,2014-11-13,True,False,,2015-02-16 15:38:33,2015-02-16 17:03:52
93,2015.2.28,945,2014-11-13,080-1/ZGA/XI/2014-REV,3,,False,False,,False,False,,2015-02-16 16:29:54,
94,2015.2.29,474,2015-02-11,OP-ZGA 1502029,1,,False,True,2015-02-11,False,False,,2015-02-22 19:19:24,
95,2015.2.30,427,2015-02-12,OP-ZGA 1502030,1,,False,True,2015-02-12,False,False,,2015-02-22 19:22:25,
96,2015.2.31,487,2015-02-12,OP-ZGA 1502031,1,,False,True,2015-02-12,False,False,,2015-02-22 19:32:13,
97,2015.2.32,938,2015-02-12,OP-ZGA 1502032,2,,False,True,2015-02-12,False,False,,2015-02-22 19:39:48,
98,2015.2.33,938,2015-02-12,OP-ZGA 1502033,2,,False,True,2015-02-02,False,False,,2015-02-22 19:42:38,
99,2015.2.34,418,2015-02-17,OP-ZGA 1502034,1,,False,True,2015-02-17,False,False,,2015-02-22 20:41:06,
100,2015.2.35,472,2015-02-17,OP-ZGA 1502035,1,,False,True,2015-02-17,False,False,,2015-02-22 20:44:11,
101,2015.2.36,472,2015-02-20,OP-ZGA 1502036,1,,False,True,2015-02-20,False,False,,2015-02-22 20:51:59,
102,2015.2.37,1196,2015-01-13,15007,1,,False,True,2015-01-13,False,False,,2015-02-22 21:04:41,2015-02-22 21:07:47
